id,subject,body,channel,district,complaint_history,label
G102149,Ambulance response time complaint,"Sir namaskara, The aspatre ward toilets are in bad condition and attendants are forced to go outside. Requesting maintenance staff be assigned. The previous complaint number I was given never got a response. Please treat this as top priority. Daya vittu sahaya madi sir.",whatsapp,Malligere,repeat_complaint,healthcare|routine
G103955,Sand lorries running at night,"Dear team, There have been five chain-snatching incidents in the old market area for six months. Elderly women have stopped morning walks. Patrolling has not increased despite complaints. Please escalate to higher officials.",whatsapp,Krishnapura,escalated,law_and_order|high
G106063,Urgent problem in our area,"Pranam sir, The main rasta through ward 4 in Kotehalli is full of potholes since last week. Two-wheeler riders are falling daily and the gram sevak keeps saying teh tender is pending. School vans have stopped entering the weavers’ colony entirely. Parents now walk bachche 2 km because no vehicle can pass the stretch after the pipeline work. Please take immediate action. Hum garib logon ki koi nahi sunta.",janata_darshan,Ambalpet,first_time,roads_transport|high
G102374,Power cuts of 6+ hours daily in Chandpur,"Sir ji, This month's bills are three to four times the usual amount for every ghar in our lane. The meter reader never actually visits; readings are invented. Please audit and correct. Low-hanging live wires near ward 11 are at head height after the storm. A buffalo was electrocuted yesterday evening; children walk under the same line to school every subah. Please escalate to higher officials. Jaldi se jaldi madad kijiye sir.",field_visit,Ambalpet,escalated,electricity|routine
G105824,No drinking water in ward 4 for three days now,"Namaskara sir, The new apartment construction next to Gandhi colony has sunk multiple borewells and pressure in our street taps has dropped. Please inspect and regulate. Taps in Ashraya layout make a hissing sound and nothing comes out, for over two months. Our makkalu queue up at 5 am near the temple with pots before school. This has nothing to do with the school, the makkalu are managing. Please take immediate action.",field_visit,Devgiri,repeat_complaint,water_supply|routine
G101866,No bus srevice to our village,"Every monsoon the same stretch in MG layout becomes impossible to cross, and this year it has already caused two accidents. The contractor vanished midway. There is no proper bus connectivity from Rampura to the taluk centre. Students and workers wait an hour for one overcrowded private vehicle. Police did visit once but this doora is not about them. This is tumba urgent. Tumba tondare aagide, bega action togoli.",field_visit,Rampura,first_time,roads_transport|high
G105004,Kindly look itno this,"Respected sir, Every monsoon the same stretch in Ashraya layout becomes impossible to cross, and this year it has already caused two accidents. The contractor vanished midway. Many of us voted with a lot of hope last time. Please escalate to higher officials.",helpline_call,Chandpur,escalated,roads_transport|high
G106131,Street lights not working in the bus stand circle,"Namaste, We request shifting of the electric pole standing in the middle of the approach road to the old market area. It was to be moved during the road widening but was left as is. We request shifting of the electric pole standing in the middle of the approach road to the weavers’ colony. It was to be moved during the road widening but was left as is. This has nothing to do with the school, the chidlren are managing. Please escalaet to higher officials.",facebook,Rampura,first_time,electricity|routine
G105146,Illegal liquor sale near the school,"Namaskara sir, We went to the station about our neighbour's abusive behaviour and were told to ""settle it among yourselves"". We request guidance on filing it properly. We are suffering a lot.",helpline_call,Devgiri,first_time,law_and_order|routine
G101255,Power cuts of 6+ hours daily in Kotehalli,"Sir ji, Low-hanging live wires near ward 11 are at head height after the storm. A buffalo was electrocuted yesterday evening; bachche walk under the same line to school every subah. Please take immediate action. Bahut pareshani ho rahi hai, kripya jaldi karvai kijiye.",field_visit,Malligere,first_time,electricity|critical
